회사명,지원기간,공고명,직무내용,자격요건,우대조건,경력조건,기술 스택,출처 URL,복지,회사소개,주요업무
유진로봇,"마감일
2023-08-31",청소로봇팀 APP 엔지니어(안드로이드),안드로이드 개발자,"• 모바일(안드로이드) 애플리케이션 개발자로서의 입증된 경험
• 모바일 애플리케이션 설계 및 구축 경험
• Kotlin과 같은 적어도 하나의 프로그래밍 언어로 프로그래밍할 수 있는 기능 구현 경험자
• 소프트웨어 설계 및 프로그래밍 원리에 대한 탁월한 이해
• 의사소통 능력이 뛰어난 팀 플레이어
• 분석적 사고 및 문제 해결 능력
• 세부 정보 및 시간 관리 기술에 대한 높은 관심
• 컴퓨터 공학 또는 관련 분야의 BSc/BA; MSc/MA를 높이 평가","• 4년 이상 모바일 애플리케이션 설계 및 구축 경험(Android용)
• 새로운 개발 언어 및 환경을 학습할 수 있는 능력/의지가 있는 자
• 유연한(agile)개발 방식 경험자
• 멀티플랫폼 개발 경험
• 코드 리뷰 및 개선 가능자 
• 영어 능통자","경력
경력 4~10년","Android OS
C#
Xamarin
RxJava
Kotlin",https://www.jumpit.co.kr/position/15989,"• 연금·보험 : 퇴직연금, 국민연금, 고용보험, 산재보험, 건강보험
• 휴무·휴가·행사 : 유연근무제, 연차(1시간 단위), 근로자의날 휴무, 경조휴가, 출산휴가, 육아휴직, 사내 동호회 운영, 창립기념일 행사 등
• 보상·수당·지원 : 인센티브제, 직무 발명비, 각종 경조금 지원, 사우회 운영, 장기근속자 포상, 우수사원 표창/포상, 가족수당, 직원추천 포상금, 결혼 선물 로봇청소기 지급, 입사 웰컴키트 지급 등
• 교육·연수 : 신입사원교육(OJT/분기별), 사내 직무교육, 기술동향 자료집 제공 등
• 사내시설·장애인지원 : 사내 식당, 사내 카페, 사내 피트니스센터, 사내 정원, 사내 주차장, 사내 도서관
• 생활편의·여가행사 : 자기계발비 지원, 건강검진, 조식/중식/석식 제공, 출퇴근 교통비 지원, 회식비 지원, 리조트 지원","‘Innovation for Quality of Life with Intelligent Robot Technology’유진로봇에서 개발자 공개 채용을 진행합니다.
유진로봇은 1988년에 설립된 30년차 로봇 전문 기업으로서 서비스 로봇 분야의 세계적인 기술력을 자랑하는 기업입니다.
유진로봇의 개발자 공개채용을 통해 성장하는 혁신기업 ㈜유진로봇과 함께 해보세요!
#회사 홈페이지 #회사 소개 영상 #AMS Solutions 기술 소개 # Robotization Package # 물류로봇 GoCart 응용사례

기술중심의 제조혁신
유진로봇은 기술 중심의 회사로 R&D에 적극적으로 투자하고 있습니다.
국내 뿐만 아니라 글로벌 시장 선점을 위하여, 지금 세상을 또 한번 놀라게 할 도전을 준비 중입니다.

개방된 직장 문화
유연시간 근로제, 간담회를 통한 소통의 길 조성, 임직원간 친목도모를 위한 동호회 활동/역량강화를 위한 자기계발 지원,
로봇 업계 최고 수준의 복리후생 제도로 균형 있는 삶과 구성원의 성장을 지원합니다.

창의와 열정이 가치인 기업 
유진로봇은 직원들의 창의적인 아이디어를 적극 수용하고 개개인이 갖고 있는 능력을 극대화하여 열정적으로 업무를 수행할 수 있도록 적극 지원하고 있습니다. 같이 일하고 싶은 소중한 동료들과 함께 우리의 꿈과 미래를 실현해 보세요.

유진로봇 RVC(Robotic Vacuum Cleaner)개발 사업부는 프리미엄 가전업체 “Miele” (독일)와 협업기반 청소로봇 개발을 진행하는 조직입니다. Stereo vision & 3D LiDAR 기반의 위치인식 및 자율주행을 청소로봇에 적용하여 프리미엄 가정용 청소로봇을 개발하고 있습니다. 
 - 글로벌 메이저 가전업체와 협력 개발을 통한 글로벌 수준의 개발 프로세스 및 품질 시스템 기반 기술 개발진행 
 - 자율주행 기술 및 청소로봇 관련 특허 100건 이상 보유
# 청소로봇 Scout 소개 # AMS Use Case : Vacuum cleaning Robot","• 클라이언트 요구사항 및 요구 사항이 애플리케이션 구현
• IT 전문가 팀과 협력하여 새로운 애플리케이션의 사양 설정
• 사양에 따라 창의적인 프로토타입 설계
• 마감 시간 내에 완전한 애플리케이션을 프로그래밍할 수 있는 고품질 소스 코드 작성
• 테스트 중심 개발 가능
• 개발한 기능에 대한 기능 및 비기능 테스트 수행
• 응용 프로그램 문제 해결 및 디버그
• 기존 애플리케이션을 평가하여 새로운 기능을 재프로그래밍, 업데이트 및 추가"
더블미디어,"마감일
상시",안드로이드 개발자 모집,안드로이드 개발자,"• Android 모바일 앱 개발 경력 3년 이상, 혹은 그에 준하는 실력을 가지신 분
• Java, Kotlin 에 능숙하신 분
• 앱 개발, 등록, 서비스 까지 모든 작업을 경험하신 분
• Git 활용에 익숙하신 분","• Flutter를 이용하여 앱 개발 경험이 있으신 분
• JetPack Compose를 이용하여 프로젝트 개발 경험이 있으신 분","경력
경력 3~10년","Java
Kotlin
Android OS
Git",https://www.jumpit.co.kr/position/14734,"• 사내 카페 및 간식코너 (라면,과자,커피,음료 등)
• 성과급 제도
• 각종 경조사 지원
• 근로자의 날, 성탄절 선물 증정
• 명절 귀향비 지원
• 사내 영어강의 지원
• 도서구매 지원
• 직원 생일 파티","더블미디어는 인터넷방송 플랫폼 ""팬더티비""를 서비스하고 있습니다. 더 나은 서비스& 새로운 서비스를 통해 소통과 즐거움이 넘치는 세상을 만들기 위해 노력하고 있습니다.
직원들의 개인적인 삶을 존중하며, 직원들의 삶이 즐거워야 회사도 발전한다는 사명감을 가지고 있습니다.
더블미디어는 직원이 아니라 동료를 찾고 있습니다.
치열한 경쟁시대에 더블미디어와 함께 오랫동안 함께할 분들의 지원 부탁드립니다.",• 안드로이드 기반 모바일 앱 개발
더블미디어,"마감일
상시",안드로이드 개발자(부산연구소),안드로이드 개발자,"• 안드로이드 개발 경력 2년 이상
• Kotlin과 Java에 대한 이해도가 있으신 분 
• 서비스 개선에 대한 열의와 적극적인 태도가 있으신 분 
• 새로운 도전을 즐기시는 분","• Kotlin으로 실 서비스 개발해보신 분 
• 최신 라이브러리의 사용 경험 
• C++ 네이티브 라이브러리 사용 경험 
• 코드 리팩토링에 대한 경험과 이해가 높으신 분","경력
경력 2~7년","Kotlin
Java
C++
Android OS",https://www.jumpit.co.kr/position/2301,"• 사내 카페테리아&간식 무한 제공
• 장거리 근무자 교통비 지원
• 팀 회식비 매월 지원
• 외국어 교육 지원
• 장기 근속자 포상 제도 ( 3년,5년,10년)
• 건강검진 지원
• 도서 구입지 지원","인터넷 방송플랫폼 ""팬더티비"" 시청&방송앱 개발 서비스","• Kotlin 기반의 방송, 시청 안드로이드 앱 개발
• 신규 서비스 앱 개발"
피플펀드컴퍼니,"마감일
상시",안드로이드 엔지니어(Kotlin),안드로이드 개발자,"• Kotlin을 활용한 안드로이드 개발 경험이 있으신 분
• 경험을 활용하는 것 이외에도 직관과 다양한 시각으로 문제를 해결할 수 있는 분","• Coroutine, RxJava 동기/비동기 프로그래밍에 익숙하신 분
• Hilt, Retrofit2 + OkHttp3 사용에 능숙한 분
• MVVM, Clean Architecture에 대한 이해도가 높은 분
• 코드 개선 및 코드 리뷰에 적극적으로 참여하는 걸 즐기는 분","경력
신입~6년","Java
Kotlin
Android OS
OkHttp
Android SDK
ReactiveX",https://www.jumpit.co.kr/position/17363,"[Support & Refresh]
• 시차출퇴근제를 운영하고 있어 출근시간을 유연하게 조정할 수 있어요.
• 일주일에 최대 3일까지 집중 업무를 위한 재택 근무가 가능해요.
• 점심 시간은 자유롭게 지정해서 사용할 수 있어요.
• 야근 후 퇴근 시 택시비를 전액 지원해요.
• 입사 첫 날, 환영하는 마음을 담은 웰컴 키트를 제공해요.
• 강남역에서 도보 2분 거리! 사무실이 역과 바로 연결되어 있어요.
• 안마의자, 휴게실/수면실, 게이밍 공간 등 휴식을 위한 다양한 공간이 준비되어 있어요.
• 의자계의 에르메스, 사무용 의자의 끝판왕이라 불리는 허먼밀러 의자를 구비했어요.

[Healthy to be Wealthy]
• 점심 식대 만 원, 야근 시 저녁 식대 만 원을 지급해요.
• 그래놀라, 견과류, 탄산수, 우유 등 건강한 간식을 상시 비치해요.
• 매주 수요일 오후는 ‘해피아워’로, 맛있고 건강한 간식을 랜덤으로 제공해요.
• 피플러와 가족의 건강 관리를 위해 연 1회 종합건강검진을 전액/할인 지원해요.

[Family-Oriented]
• 가족에게 중요한 일이 생기면, 유연·단축 근무를 활용할 수 있어요.
• 생일을 맞은 피플러에게 유급 반차와 상품권을 선물로 드려요.
• 결혼 시 유급 휴가 2주, 축하금, 축하 화환을 지급해요.
• 경조사 종류에 따라 유급 휴가 및 경조금, 화환을 제공해요.
• 설, 추석 명절 각각에 상품권을 선물로 드려요.
• 본인 및 배우자 출산 시 유급 휴가, 재택 근무 등이 가능해요.

[Good Time with Good People]
• 2주에 한 번 랜덤으로 모여 서로를 알아가는 점심 식사를 해요.
• 신규 입사자를 위한 짝꿍(buddy)을 매칭해주고, 안정적인 적응을 돕고 있어요.
• 팀 빌딩을 위한 회식비를 지원해요.
• 취미를 함께 즐길 수 있도록 사내 동호회 활동을 지원해요.

[Growth for Next Step]
• 무제한 도서 지원 제도를 운영해요.
• 신규입사자들이 피플펀드에 대해 더 깊이 알 수 있도록 NJT(New Joiner Training)를 진행해요.
• 업무와 밀접한 연관이 있는 외부 교육 참석을 지원해요.
• 피플러가 가진 다양한 스킬 및 재능을 공유하는 사내 클래스를 운영해요.

피플펀드 일상이 궁금하다면?
https://pf-recruit.oopy.io/3a619869-d3d0-49eb-af71-0d3a0ccb7c9c","“당신의 코드로 국민 절반의 신용점수를 바꿀 수 있다면?”

대한민국 국민의 절반은 중저신용자, 이들의 75%는 은행에서 거절되는 사실을 알고 계셨나요? 피플펀드는 이런 기존 금융의 부조리함을 해결하며 합리적이고 신뢰할 수 있는 금융을 만들어가고 있습니다.
중저신용자에게 더 나은 조건의 대출을 제공하고, 국내 금융기관들을 위한 리스크 관리 기술력 고도화를 지원하고 있어요.

“No. 1 PEOPLEFUND”
• 피플펀드는 누적대출액 1조 6천억 원, 개인신용대출 시장점유율 59.1%, 주택담보대출 시장점유율 24.5%로, 업계를 선도하고 있어요. (‘22년 12월)
• 비은행권 최고의 AI 신용평가 및 리스크 관리 기술을 바탕으로 손실률과 연체율을 업계 최저 수준으로 유지하고 있죠.
• ‘23년 1월, 유동성 한파 속에서도 베인캐피탈 리드로 10여 곳의 기존 주주사로부터 추가 투자를 유치해 업계 최대 규모인 누적 1,261억 원을 달성했답니다.

“최고의 동료들과 마음이 즐거운 일을 함께해요”
피플펀드에는 금융 산업의 구조적 문제에 공감하고, 이를 해결해보려는 회사의 미션에 매료된 각 분야의 인재들이 모여있어요.
130여 명의 ‘드림팀 멤버’ 보러가기: https://www.peoplefund.co.kr/team#member

“그리고 지금, 대한민국 금융을 바꾸는 여정에 함께 할 최고의 동료를 찾고 있습니다.”
보통이 아닌 당신을 기다려요","• 고객들이 쉽고 편하게, 그리고 안전하게 이용할 수 있는 안드로이드 앱을 개발합니다.
• 피플펀드 유저의 90%가 이용하는 앱 개발을 통해 최고의 모바일 금융 서비스 경험을 선사합니다."
42dot,"마감일
상시",Android (SDK) Engineer,안드로이드 개발자,"• Android Application 혹은 SDK 개발 경력 3년 ~ 7년
• Kotiln, Java 에 대한 이해도가 높으신 분
• Android 플랫폼과 디자인 가이드에 대한 이해가 있으신 분
• Android 최신 기술 및 Trend에 대한 관심과 이해가 높으신 분","• MVVM, Clean Architecture 등 설계 / 적용 경험이 있는 분
• Coroutine, Flow/Collect, Rx 등 관련 지식이 많으신 분
• 제품 출시 경험이 있으신 분
• 자동차 환경의 개발 경험이 있으신 분
• 서비스를 하나 이상 출시한 경험이 있으신 분","경력
경력 3~7년","Android SDK
Kotlin
Java",https://www.jumpit.co.kr/position/17349,"• 근무제도: 유연근무제를 통해 임직원이 효율적으로 근무시간을 활용할 수 있도록 지원합니다.
• 단체 상해보험: 본인 및 배우자, 직계가족의 상해보험 가입을 지원합니다.
• 경조사 지원: 본인 및 가족의 경조사 발생 시 지원합니다.
• 명절선물: 설/추석 명절에 각 300,000원의 명절선물을 지급합니다.
• 건강검진: 임직원의 건강검진을 매년 지원합니다.
• 저금리 대출지원: 회사와 협약을 맺은 시중은행을 통해 저금리 대출을 지원합니다.
• 복지카드: 연간 3,000,000원을 지급하며 자기계발, 문화/여가 활동 등의 목적으로 사용 가능합니다. (중도 입사 시 당해 년도 재직일수 기준으로 일할 계산 후 부여) 
• 휴양시설: 별도의 직원 전용 프라이빗 휴양시설(아난티 리조트)을 이용하실 수 있도록 지원합니다.","42dot은 도심형 모빌리티 서비스의 A부터 Z까지 전 과정을 아우르는 모빌리티 통합 플랫폼 UMOS(Urban Mobility Operating System)를 개발하는 자율주행·모빌리티 스타트업입니다. 생활환경지능(Ambient Intelligence)이라는 비전 하에 UMOS 플랫폼의 Fleet Infrastructure를 구축하여, 모빌리티에서 발원한 데이터를 수집하고, 더 나아가 대형 Fleet 고객사들이 사용할 수 있는 다양한 서비스 및 제품을 개발하고 있습니다.

[42dot 기술영상]
모든 것이 스스로 움직이고 끊임없이 연결된 세상을 만드는 42dot의 기술을 UMOS DAY 2021 영상을 통해 만나보세요.
https://www.youtube.com/playlist?list=PLTQGQoE5gAclRYH9-wXPhYIQqGyjPS-10
 
[42dot 관련 기사]
http://news.heraldcorp.com/view.php?ud=20221102000248
https://www.nocutnews.co.kr/news/5617169
https://byline.network/2021/07/22-135/","• Automotive Service 를 위한 서비스 앱 개발
• Automotive Service /음성인식을 위한 SDK 개발
• AAOS(Android Automotive Open Source) 플랫폼 개발"
넛지헬스케어,"마감일
상시",[병역특례] 안드로이드 개발 산업기능요원 모집,안드로이드 개발자,"• ⭐병역특례 대상자이신 분 必 (현역/보충역)⭐
• 경력무관
• 안드로이드 모바일 환경에 대한 이해
• Kotlin을 이용한 안드로이드 앱 개발 경험이 있으신 분
• 원활한 커뮤니케이션 보유","• 안드로이드 앱 스토어 출시 경험 보유
• Slack 등을 이용한 비동기 문자 커뮤니케이션에 익숙한 분","경력
신입~3년","Kotlin
REST API
Git
Android OS
Slack",https://www.jumpit.co.kr/position/12001,"• 식대 지급 및 복지포인트 제공
• 스낵바 (음료, 스낵 등이 무한 제공)
• 생일 당일 축하 선물 발송 (선택가능)
• 자유로운 연차 사용 분위기 ⇒ 미사용 연차는 수당으로 지급
• 강남 유명 피부과 제휴 (모든 시술 50% 할인 혜택 제공)
• 죠샌드위치 역삼키토선생점 직원 할인가 제공 (50% 할인)
• 자유 복장, 회식 및 야근 강요 없음
• 쾌적한 사무실 환경 (신사옥 이전)
• 경조 휴가 및 경조사비 지원
• 장기근속자 포상 Refresh휴가 지급 (만 3년, 5년, 7년)
• 개발에 필요한 최신형 개인 장비 제공 (맥북 프로 M1, 듀얼 모니터 등)
• 해외 컨퍼런스 지원 (참가비/항공료/숙박비용 등)
　→ 백엔드 개발자 : AWS re:Invent
　→ 웹 프론트엔드 개발자 : Facebook F8
　→ 안드로이드 개발자 : Google I/O
　→ iOS 개발자 : WWDC","[회사소개]
넛지헬스케어는 행동경제학 이론을 실생활에 적용하여 비만, 당뇨, 고혈압과 같은 만성질환을 예방하고 관리할 수 있도록 돕는 것을 목표로 2016년 설립되었습니다.
현재는 대한민국 국민 3명 중 1명이 사용하고 있는 국민 건강앱 [캐시워크]를 개발한 디지털 헬스케어 스타트업 입니다

[지원해야 하는 이유]
• 전 세계 2,000만 다운로드가 넘는 서비스를 직접 기획/개발/운영하는 경험을 할 수 있습니다.
• 2022년 기준 약 800억원의 매출과 100억원의 영업이익을 기록한 재무적으로 튼튼한 기업입니다.
• 2023년 한국투자파트너스와 신한금융그룹으로부터 300억원을 투자 받아 글로벌로 급격하게 성장하고 있습니다.
 ⇒ 미국, 캐나다, 영국, 프랑스, 이탈리아, 스페인에서 200만 다운로드 돌파
• 2022년 강남역 4번출구 바로 앞에 사옥을 매입하여 쾌적한 근무환경을 조성했습니다.
 ⇒ 1층에 임직원 용 카페테리아를 운영 중입니다. (전 메뉴 50% 무제한 할인)

[관련기사]
[스타트업 리포트] ""운동하며 돈 버는 국민 건강관리 앱 개발"" 나승균 넛지헬스케어 대표
https://n.news.naver.com/mnews/article/469/0000659800

캐시워크 성공 2막 여는 넛지헬스케어…“미국인 마음도 사로잡았죠”
https://n.news.naver.com/mnews/article/018/0005080573

앱 춘추전국시대…캐시워크가 미국서 소비자 로열티 얻은 노하우는 [긱스]
https://n.news.naver.com/mnews/article/015/0004784351

디지털 헬스케어 스타트업 넛지헬스케어㈜, 300억 원 투자 유치
https://n.news.naver.com/mnews/article/009/0005115123

‘캐시워크’ 넛지헬스케어, 지난해 매출 790억원… 역대 최대
https://n.news.naver.com/mnews/article/366/0000889417",• 안드로이드 네이티브 앱 개발 (Kotlin)
42dot,"마감일
상시",Android Engineer(차량용 In-Vehicle Infotainment App),안드로이드 개발자,"• Android 앱 개발 2년 이상 경력을 보유하신 분(대학원 기간 제외)
• Android 플랫폼을 이해하고 Java/Kotlin 을 사용한 어플리케이션 경험
• JAVA, KOTLIN 중 한 가지 이상의 언어에 대해서 업무를 수행할 수 있는 역량을 보유하신 분
• 학사 이상의 학위를 취득하신 분","• Android 최신 트렌드를 이용한 개발 경험
• 인포테인먼트 시스템 앱 개발 경험을 보유하신 분
• 모바일 시스템 앱 또는 서비스 앱 개발 경험을 보유하신 분
• 안드로이드 인터널 분석 및 스터디를 좋아하시는 분
• 포토폴리오 제출을 우대합니다.","경력
경력 2~15년","kotlin
java
git
jira
Android OS",https://www.jumpit.co.kr/position/17550,"• 근무제도: 유연근무제를 통해 임직원이 효율적으로 근무시간을 활용할 수 있도록 지원합니다.
• 단체 상해보험: 본인 및 배우자, 직계가족의 상해보험 가입을 지원합니다.
• 경조사 지원: 본인 및 가족의 경조사 발생 시 지원합니다.
• 명절선물: 설/추석 명절에 각 300,000원의 명절선물을 지급합니다.
• 건강검진: 임직원의 건강검진을 매년 지원합니다.
• 저금리 대출지원: 회사와 협약을 맺은 시중은행을 통해 저금리 대출을 지원합니다.
• 복지카드: 연간 3,000,000원을 지급하며 자기계발, 문화/여가 활동 등의 목적으로 사용 가능합니다. (중도 입사 시 당해 년도 재직일수 기준으로 일할 계산 후 부여) 
• 휴양시설: 별도의 직원 전용 프라이빗 휴양시설(아난티 리조트)을 이용하실 수 있도록 지원합니다.","42dot은 도심형 모빌리티 서비스의 A부터 Z까지 전 과정을 아우르는 모빌리티 통합 플랫폼 UMOS(Urban Mobility Operating System)를 개발하는 자율주행·모빌리티 스타트업입니다. 생활환경지능(Ambient Intelligence)이라는 비전 하에 UMOS 플랫폼의 Fleet Infrastructure를 구축하여, 모빌리티에서 발원한 데이터를 수집하고, 더 나아가 대형 Fleet 고객사들이 사용할 수 있는 다양한 서비스 및 제품을 개발하고 있습니다.","• 음성에이전트 SDK 이용한 VR 어플리케이션 개발
• 클라우드 데이타를 이용한 차량과 사용자 기반 앱스토어 서비스 앱 개발
• 인포테인먼트 시스템을 위한 어플리케이션 소프트웨어 개발
• 이동과 지도를 이용하여 위치기반 서비스 앱 개발"
엔에이치엔에듀,"마감일
상시",[NHN Edu] Android 개발자 채용,안드로이드 개발자,"• Java/Kotlin을 이용한 네이티브 앱 서비스 개발 경력 5년 이상 
• 다양한 앱 UI와 인터렉션 개발 역량","• Rx(RxJava, RxKotlin, Coroutine 등)를 이용한 서비스 개발 경험이 있으신 분
• MVI / MVP / MVVM 등의 디자인 패턴 이해와 개발 적용 경험이 있으신 분
• Clean Architecture, Clean Code 구현에 깊이 고민하고 개선해 보신 분
• KMM 프레임워크 적용 경험이 있으신 분
• RESTful API 설계 경험
• 새로운 기술을 익히는데 열정적이고 적극적으로 팀원에게 공유하시는 분","경력
경력 5~12년","Java
Kotlin
RxJava
Android OS",https://www.jumpit.co.kr/position/17586,"• 포괄임금제 폐지
• 근무시간을 내가 계획하고, 조정하는 '퍼플타임' 운영.
• 근속년수에 따라 1개월~6개월 유급 휴가를 지원하는 '안식월 제도'
• 주2회 장소에 구애 받지 않고 자유롭게 '리모트 워크' 근무.
• 30분 단위로 연차사용 가능
• 승진한 직원들을 위한 Refresh 휴가
• 조식·중식(재택근무시에도 식대 제공)·석식 지원, 사내카페·마트 지원
• 일반·종합건강검진 지원, 단체 상해보험 가입, 각종 경조사 지원, 휴양시설 지원, 명절상품권 지급, 자녀입학선물 지원, 계열사제품 할인, 사내 휘트니스 지원, 사내대출이자 지원, 어린이집 지원, 교통비 지원, 그 외 다수의 편의시설 및 복지 제공","1. 회사 소개
교육이 있는 모든 곳에 NHN EDU가 있습니다.
NHN Edu는 2012년도에 설립한 교육 플랫폼 기업입니다.
IT 기술력과 서비스 운영 노하우를 바탕으로 교육 분야의 혁신을 꿈꾸고 있습니다.

2. 사업분야
학부모와 교육기관이 함께 만드는 글로벌 No.1 교육 포털을 지향합니다.
NHN Edu는 2012년 아이엠스쿨 론칭을 시작으로 유니원, 아이엠티처를 서비스하고 있습니다.
또한 학부모 회원을 기반으로 커머스, 광고, 캠프/체험학습 분야로 사업을 확정하며 경쟁력을 갖춰나가고 있습니다.

3. 서비스
• 아이엠스쿨 : 학부모를 위한 1등 모바일 알림장, 아이엠스쿨 입니다. (APP)
 - 전국 초/중/고교 99% 에게 서비스를 제공하고 400만 명의 학부모가 아이엠스쿨을 이용합니다.
 - 국내교육플랫폼 점유율 1위를 넘어 대만 시장 진출을 발판 삼아 아시아 대표 교육 플랫폼으로 성장하고 있습니다.
• 아이엠티처 : 선생님을 위한 모든 것, 아이엠티처 입니다. (WEB, APP)
 - 학급경영에 관련된 모든 업무를 한번에 처리할 수 있습니다.
 - 학생들과 수업에만 집중하시도록 아이엠티처가 선생님의 업무 시간을 줄여드립니다.
• 유니원 : 교육기관 안심 운영 서비스, 유니원 입니다.
 - 바쁜 교육기관에는 운영의 편의성을, 학부모님께는 자녀의 정보를 전달해드립니다.
 - 교육기관의 규모와 관계없이 운영에 필요한 핵심 기능을 무료로 이용할 수 있습니다. (학부모 : APP, 교육기관 : WEB, APP)
• 핑크다이어리(APP)
산부인과 전문의의 자문을 토대로 개발된 대한산부인과의사회
공식 여성 건강관리 서비스. 여성 건강을 체크할 수 있는 기능을
제공하며 국내 여성향 앱 1위를 유지하고 있습니다.

소개 유튜브 : https://www.youtube.com/watch?v=1MZmcKeYKeM

http://kr.iamcompany.net",• NHN EDU 내 교육 및 펨테크 서비스의 Android 모바일 앱 신규 개발과 유지보수 개발
우리요,"마감일
상시",[(주)우리요] 안드로이드 개발자 채용,안드로이드 개발자,"• 알고리즘, 네트워크 프로그래밍 등 기본적 개발자 소양을 갖춘 자
• 서버/클라이언트 간 네트워크 시스템에 대한 이해
• Kotlin 개발 경험자
• 모바일 UX/UI 이해도 우수
• 다양한 이해관계자와 조직간 원활한 커뮤니케이션 능력을 갖춘 자","• 위치기반 서비스 개발 경험
• In-App Purchase 개발 경험
• Google Play Store 앱 등록 및 운영 경험
• Clean architecture/MVP/MVVM 등 아키택쳐 설계에 관심
• Rxjava 개발 경험","경력
경력 3~10년","Java
Kotlin
Git
Android OS",https://www.jumpit.co.kr/position/17321,"• 4대보험 : 국민연금, 건강보험, 고용보험, 산재보험
• 휴무/휴가 : 생일포상휴가, 2년이상 재직시 연차별 포상휴가 추가제공
• 생활편의 : 자유복장, 회식/야근강요 X, 직원휴게실(간식/음료등) 구비, 정시퇴근권장.
• 교육지원 : 워크샵, 직무능력향상교육, 도서구입비","우리요는 2013년도부터 주력 서비스인 '핀플'과 '알파요', '핀메뉴'뿐만 아니라, 다수의 자사 개발 서비스와 더불어 외부 프로젝트 및 R&D사업 수행으로 IT개발기획/디자인/개발분야에 대한 노하우를 축적하여 최고의 APP&WEP 콘텐츠를 제작 지원하는 Data-Tech Platform 사업으로 발전해 나가고 있습니다.
지방(전북 전주)에도 저력있는 IT기업이 있고, 슬로우시티 한 중심에서 발빠르게 IT기술을 선도해 나아가는데 함께할 인재를 기다립니다.
우리요와 함께 즐겁게 근무하실 창의적이고 감각적인 여러분의 지원을 기다리겠습니다.","• Android 앱개발 및 유지보수
• 전반적인 사내/외주 프로젝트 및 개발협업
• 자료구조, 알고리즘
• Java, Kotlin, 전자정부표준 프레임워크 기반 개발
• 프로젝트 R&D 개발"
에이티센스,"마감일
2023-08-15",모바일 앱 개발자(안드로이드),안드로이드 개발자,"• Android, Kotlin 개발 경력 2년 이상
• 앱 성능 최적화, 코드 리뷰 등에 관심이 있는 분
• 서비스 개선에 대한 열의와 적극적으로 동료들과 소통하고 책임감이 있는 분
• 최신 기술에 지속적인 관심을 기울이는 분
• 기술스택 : Java, Kotlin
　- MVP, MVVM 등 디자인 패턴 프로젝트 경험
　- Native UI/UX의 능숙한 개발이 가능하신 분
　- Coroutine, ReactiveX (RxJava2, RxAndroid)
　- Firebase, JIRA, Gitlab 등을 활용한 프로젝트 수행 경험
※ 경력기술서 제출 필수","• Android API 및 Open Source 활용에 대한 높은 이해도를 보유하신 분
• iOS (Swift, Objective-C) 개발 경력
• 크로스 플랫폼 (Flutter) 개발 경력
• BLE 통신 서비스 경험","경력
경력 2~6년","Android OS
Kotlin
Java
Firebase
Jira
GitLab",https://www.jumpit.co.kr/position/18004,"• 워라밸 시차출근제 [8시/9시/10시 출근 선택 가능]
• 정자역 지하철 3번출구에서 30초 이내 위치 /초역세권/더블역세권
• 장기근속 리프레쉬 휴가제도 운영 (3,5,10년)
• 여름휴가 5일 휴무일, 자유로운 연차 사용
• Covid19 백신휴가 지원 - 유급휴가 2일
• 성과금 지급
• 석식 지원, 교육비 지원, 회식비 지원,동호회 지원
• 자녀 돌,백일 시 유급휴가1일+경조금지급
• 모닝커피 지원 - 월 5만원 쿠폰 지급
• Happy Birthday 제도 - 생일 상품권 10만원 지급+ 2시간 조기퇴근
• 월 1회 가정의날 / 조기 퇴근
• 건강검진 2년 1회 지원 (70만원 상당 골드 프로그램)
• 가족 심장케어 지원 (본인,직계가족 연 1회 심전도검사비 지원
• 우수인재추천제도 운영 (추천인포상금 200만원 ,입사축하금 100만원 지원)","㈜에이티센스는 2017년에 설립된 회사로 사원수 55명 규모의 벤처기업입니다. 경기 성남시 분당구 성남대로331번길 8 (정자동, 킨스타워)에 위치하고 있으며, 웨어러블 패치형 심전도 측정기기 및 모니터링 시스템 연구개발, 제조, 판매사업을 하고 있습니다.",• 자사 모바일 앱 소프트웨어 개발 및 유지 운영 담당
