대분류,소분류,강의명,난이도,가격(현재가격),가격(원래가격),총소요시간,강의소개,언어,출처
data-science,Natural Language Processing,【한글자막】 NLP : Python 으로 배우는 자연어 처리,중급자,"17,000",88000,11.5시간 주문형 동영상,"배울 내용
Python으로 텍스트 파일 작업하는 방법
Python으로 PDF 파일 작업하는 방법
텍스트에서 패턴 검색을 위한 정규 표현식 활용
초고속 토큰화를 위한 spaCy 사용
어간 추출 및 표제어 추출
단어 집합과 검색
품사 태깅을 사용한 원시(raw) 텍스트 파일 자동 처리
개체명 인식 이해
spaCy로 POS(품사 태깅) 및 NER(개체명 인식) 시각화
SciKit-Learn(사이킷런)을 통한 텍스트 분류
토픽 모델링을 위한 잠재 디리클레 할당
비음수 행렬 분해
더 보기",한국어,https://www.udemy.com/course/global-top-100-nlp-python-246/
data-science,Artificial Intelligence,【한글자막】 AI 만들기 : 강화학습과 인공신경망 완전 정복,모든 수준,"17,000",88000,16.5시간 주문형 동영상,"배울 내용
인공지능의 배경이 되는 핵심 이론 완벽 이해
최신 강화학습 모델을 통한 인공지능 구현 (Q-Learning, Deep Q-Learning, Deep Convolutional Q-Learning, A3C)
최신 딥러닝 핵심 모델을 통한 인공지능 구현 (인공신경망, ANN, CNN)
AI 모델을 실제 문제 해결에 적용하는 과정 실습 (가상의 자율주행 알고리즘 만들기, 게임 필승 AI 모델 만들기)",한국어,https://www.udemy.com/course/best-ai-17-hours/
data-science,Python,【한글자막】 Python : 통계 분석을 위한 파이썬,초급자,"17,000",59000,8.5시간 주문형 동영상,"배울 내용
데이터에 대한 더 깊은 인사이트
파이썬을 사용하여 일반적 또는 복잡한 통계 및 머신 러닝 관련 프로젝트 해결
시각적 출력 및 그래픽 탐색을 통합하여, 결과를 해석하고 시각화하는 방법
파이썬으로 가설을 검증하고 효율적으로 검정을 구현하는 방법
데이터 분석 탐색(데이터 로딩, 아웃라이어, 1D분포 등)
특성화(평균 중간값 모드, 폭, 왜도 및 첨도, 백분위수 등)
확률(확률분포, 확률 함수, 경험적 분포, 샘플링 및 중심극한정리 등)
가설검증(기본검증, 비율 검증 등)",한국어,https://www.udemy.com/course/best-python-statistics/
data-science,R (programming language),【한글자막】 R 프로그래밍 A-Z™: 직접 코딩하며 배우는 R 프로그래밍 !,모든 수준,"17,000",88000,10.5시간 주문형 동영상,"배울 내용
R 프로그래밍을 잘 하는 방법
R 스튜디오 사용법
프로그래밍의 핵심 원칙
R에서 벡터를 만드는 방법
변수를 만드는 방법
R의 정수형, 실수형, 논리형, 문자형 등 여러 자료형
R에서 while() 루프 및for() 루프를 만드는 방법
R에서 행렬을 만들고 사용하는 방법
matrix() 함수, rbind() 및 cbind()
R에서 패키지를 설치하는 방법
R 스튜디오를 내 취향대로 사용자 정의하는 방법
큰 수의 법칙 이해
정규 분포 이해
R에서 통계 데이터를 다루는 연습
더 보기",한국어,https://www.udemy.com/course/best-r-coding/
data-science,Apache Spark,【한글자막】 Apache Spark 와 Scala로 빅 데이터 다루기,모든 수준,"17,000",88000,9시간 주문형 동영상,"배울 내용
빅데이터 분석 문제를 Apache Spark 스크립트로 프레임화
Scala 프로그래밍 언어를 사용하여 분산 코드 개발
파티셔닝, 캐싱 및 기타 기술을 통해 Spark 작업 최적화
Hadoop 클러스터에서 Spark 스크립트 구축, 디플로이 및 실행
Spark Streaming으로 연속적인 데이터 스트림 처리
SparkSQL, DataSets 및 DataFrames를 사용하여 구조화된 데이터 변환
GraphX를 사용하여 그래프 구조 순회 및 분석
Spark의 머신 러닝으로 방대한 데이터 세트 분석",한국어,https://www.udemy.com/course/best-scala-apache-spark/
data-science,Statistics,역학조사관을 위한 통계,초급자,"17,000",49000,3시간 주문형 동영상,"배울 내용
역학조사에 필요한 기본적인 통계적 개념
역학조사에 활용할 수 있는 통계적 도구의 실제 사용법",한국어,https://www.udemy.com/course/ez-epidem/
data-science,Math,【한글자막】 Machine Learning 라이브러리 수학적 기초,모든 수준,"17,000",88000,15.5시간 주문형 동영상,"배울 내용
모든 Machin Learning 및 Data Sciencedml 기초가 되는 중요한 수학 과목인 선형 대수와 미적분학의 기초 이해
가장 중요한 세 가지 세 가지 Python 텐서 라이브러리인 NumPy, TensorFlow 및 PyTorch를 모두 사용하여 텐서를 조작합니다.
머신러닝과 데이터 사이언스에 필수적인 벡터와 행렬 계산을 활용하는 방법
고유벡터, SVD, PCA를 활용하여 복잡한 데이터의 차원을 가장 유익한 요소로 축소하는 방법
심화 기술 (예, 유사역행렬) 및 기본 기술 (소거법)를 활용한 미지수에 대한 해결
파이썬의 interactive code 데모를 통해 미적분 원리의 상세 이해
연쇄 법칙과 같은 심화 미분 법칙 상세 이해
머신러닝 비용 함수의 편도함수를 TensorFlow와 PyTorch를 이용하여 뿐만 아니라 직접 계산
더 보기",한국어,https://www.udemy.com/course/best-ml-math/
data-science,Machine Learning,【한글자막】 Machine Learning 완벽 실습 : 6가지 실제 사례 직접 해결하기,중급자,"17,000",69000,8.5시간 주문형 동영상,"배울 내용
실제 데이터 과학 프로젝트가 어떤지 배우게 됩니다.
이 사례 연구를 이력서에 포함할 수 있습니다.
머신 러닝 실무자로 자신을 홍보할 수 있습니다.
데이터 과학 직무 면접에서 자신감을 느낄 것입니다.
여러 머신 러닝 알고리즘을 연결하여 목표를 달성하는 방법을 배우게 됩니다.
Seaborn과 Matplotlib를 사용한 고급 데이터 시각화 기술을 배우게 됩니다.
로지스틱 회귀에 대해 배우게 됩니다.
L1 정규화(Lasso)에 대해 배우게 됩니다.
랜덤 포레스트 분류기에 대해 배우게 됩니다.",한국어,https://www.udemy.com/course/best-machine-learning-6/
data-science,Data Analysis,【한글자막】 Pandas 및 Python 을 이용한 데이터 분석 : 마스터 클래스,모든 수준,"17,000",79000,21시간 주문형 동영상,"배울 내용
데이터를 관리, 정렬 및 시각화하는 고급 파이썬 도구 마스터
과학적 컴퓨팅을 위한 넘파이, 데이터 분석을 위한 판다스 등 파이썬 주요 라이브러리 사용 방법
맷플롯립 및 씨본 라이브러리를 통해 데이터를 시각화하고 인사이트를 얻어 정보에 입각한 결정 내리기
피처 엔지니어링을 통한 대용량 데이터 세트 관리, 머신 러닝 및 데이터 사이언스에 적용하기 위한 데이터 정리
히트맵, 상관관계 분석, 산점도, 파이 차트, 페어 플롯, 벤다이어그램, 3D 플롯, 히스토그램, 워드 클라우드 및 군집 플롯 생성",한국어,https://www.udemy.com/course/best-pandas-python/
data-science,Amazon Sagemaker,【한글자막】 초보자를 위한 AWS SageMaker 실습 | 6개 프로젝트 구축하기,중급자,"17,000",88000,16시간 주문형 동영상,"배울 내용
AWS SageMaker를 활용한 AI/ML 모델 훈련 및 구현
하이퍼 파라미터 최적화 검색을 통한 모델 파라미터 최적화
선형 회귀 모형 개발, 훈련, 테스트 및 구현을 통한 미래 예측
생산 수준 다중 다항 회귀 분석 모델을 구현해 주어진 특징을 기반으로 매장 매출 예측
이미지 분류를 수행하기 위한 딥러닝 기반 모델 개발
DeepAR을 사용해 미래의 제품 가격을 예측하는 시계열 예측 모델 개발
SageMaker를 사용하여 정서 분석 모델을 개발 및 구현
훈련된 NLP 모델을 구현하고 보안 API를 사용하여 상호 작용 및 예측
SageMaker 내 알고리즘을 사용한 객체 감지 모델 훈련 및 평가",한국어,https://www.udemy.com/course/best-aws-sagemaker/
