회사이름,기술스택,주요업무,자격요건,우대사항,복지 및 혜택,경력,학력,마감일,근무지역
코보시스시니어 서버개발자(JAVA),"Java
Spring Boot
Jenkins
MariaDB
MySQL
Mybatis
Linux
Apache Tomcat
AWS","• 비즈니스 도메인에 대하여 분석하고 시스템 아키텍처를 설계
• 지속적으로 시스템 개선 방향을 설정하고 업무 프로세스 및 로드맵을 수립
• 데이터베이스 분산설계 및 미들웨어 개발","• Java, SpringBoot
• Mybatis/JPA
• Jenkins, AWS Deploy
• JET Brains
• Java기반의 백엔드 개발 경험이 7년 이상 또는 그에 준하는 경력을 가지신 분
• 관계형 데이터베이스 사용 경험이 풍부하신 분
• 클라우드 환경에서 서비스 구축 경험이 풍부하신 분
• 대용량 트래픽, 안정화를 고려한 서버 설계 및 개발이 가능하신 분
• HTTP 통신에 대한 이해 및 RESTful 기반의 설계 및 구현 경험이 풍부하신 분
• MSA 개념에 대한 이해 및 경험이 풍부하신 분
• 비지니스를 잘 이해하고 적정 스펙을 빠르게 구현하실 수 있는 분","• 긍정적인 마인드와 유연한 커뮤니케이션 능력을 갖추신 분
• 스타트업 경험이 있으신 분
• 결제 및 정산, 포인트 개발 경험이 많으신 분
• 다양한 환경에서의 Failover 처리에 대한 경험이 많으신 분
• Git-flow를 사용한 소스관리 경험이 풍부하신 분
• 스스로 업무에 필요하다 생각되는 것을 구현해서 공유해 주실 수 있는 분
• 내가 만든 서비스에 대해 자발적으로 지속적인 관심과 개선을 꾸준히 진행하실 수 있는 분","• 매월 중식 식권대장 15만포인트 지급
• 매월 팀빌딩비 인당 5만원 지급
• 생일 축하금과 명절 선물 지급
• 각종 경조금 및 경조휴가 제공
• 자기계발을 위한 사내 도서관 운영
• 카페테리아 제공(네스프레소 캡슐커피/간식/음료)
• 연차수당, 퇴직금 지급
• 연봉 외 성과급 지급
• 웰컴 사무용품 지원
• 자유로운 연차 사용
• 장기근속자 포상
• 내일채움공제 지원",경력 7~15년,대학교졸업(4년) 이상,상시,"서울특별시 송파구 법원로 11길 11, 현대지식산업센터 A동 901~904호"
"미디어로그미디어로그(LG그룹) U+유모바일 개발 PM, PL 경력 채용","Java
jQuery
JSP
Spring Boot
Thymeleaf
Docker
MySQL
MariaDB
Jenkins
GitLab","• MVNO 사업(U+유모바일) 개발 PM, PL
• U+유모바일 웹 및 서버 개발/운영","• java/jquery/jsp 웹 개발, Spring Boot, Thymeleaf, Docker 활용 가능한 분
• 웹 Front/Back-End 분석/설계 및 개발 가능한 분
• MYSQL/MariaDB 활용 가능한 분
• Jenkins, GitLab 활용 가능한 분 
• 톰캣과 아파치 웹 서버의 구조 및 동작 원리를 이해하고 관리 가능한 분
• 리눅스 쉘 스크립트 사용 가능한 분","• 통계 및 지표 분석을 통한 시스템 개발 경험 보유
• 금융/통신사 프로젝트 개발 경력
• 쇼핑몰 업무 경력 보유
• PM/PL 업무 경험","• 통신비 지원
- U+유모바일 음성무제한 요금제 지원

• 자녀 학비 지원
- 유치원부터 대학교까지 학자금 전액 지원 (자녀 수 제한 없음)
- 초등학교/중학교/고등학교 입학 선물 제공

• 그룹사 제품 할인
- LG그룹사 제품 할인
- LG 계열사 Family Card 할인

• 경조사 지원
- 결혼 축하금 (100만원)/ 축의 화환 제공
- 출산 축하 선물 지급
- 부모님 환갑 또는 칠순 축하금 지원
- 조의금 및 장례물품 지원
- 경조휴가 제공

• 기념일 지원
- 임직원 생일 기념 선물 제공
- 멀티 복지포인트 제공 (年 100만 포인트)
- 교육, 여행, 레저, 문화생활 등 자기개발/여가활동 비용

• 의료비
- 임직원/배우자/자녀/부모 의료비 지원(연간 150만원)

• 단체상해보험 가입
- 임직원/배우자 단체 상해보험 가입(암 진단금 3,000만원 등)

• 종합 건강검진
- 임직원/배우자 정기적 종합 검진 실시

• 휴가 제도
- 연차 외 Refresh 휴가 5일 제공
- 장기근속자 포상금 및 휴가 부여
- LG그룹 창립기념일 휴가

• 휴양 시설
- 리조트 및 콘도 임직원 할인가에 사용(한화콘도/대명콘도)

• 동호회 지원
- 스포츠/레저/취미활동 등 동호회 활동 지원

• Work & Life 밸런스 지원
- 월 2회 Smart Working Day (오후 5시 퇴근)
- 유연근무제 운영

• 셔틀버스 지원
- 디지털미디어시티역 ↔ 미디어로그 본사

• 교육 지원
- 전사 교육 및 개인 직무교육
- 도서구입비 지원
- 어학교육 지원",경력 3~8년,대학교졸업(4년) 이상,상시,"서울시 마포구 월드컵북로416, LG유플러스 상암사옥 13층"
지바이크[지쿠터] PHP / Laravel,"Laravel
Apache HTTP Server
REST API
PHP
RDB
NoSql
MSA
Spring Boot
Kotlin","• 지바이크 내 서비스 서버 개발
• 지바이크 내 운영 시스템 개발","• 해당 경력 3년 이상
• Laravel 사용 경험이 있으신 분
• 코드리뷰에 적극적이신 분
• Restful API와 같은 HTTP를 이용한 API 서비스 개발 경험이 있는 분
• Modern PHP Programming, OOP, TDD 에 대한 이해와 활용이 가능한 분
• RDB 또는 NoSQL 사용 경험이 있으신 분
• 자신의 결과물에 대해 문서로 표현하고 이를 공유 가능하신 분
• 다양한 부서와 협업 및 커뮤니케이션이 원활하신 분
• 변화를 두려워하지 않고 꾸준히 학습하며 성장을 원하시는 분","• 대규모 트래픽 서비스 환경에서 개발 및 운영 경험이 있으신 분
• 대용량 배치 개발 및 운영 경험이 있으신 분
• Spring Boot(Kotlin) 기반으로 실무 경험 있으신 분","• 영어이름으로 실현하는 수평적 조직문화!
 지쿠터엔 직위 직급 없이 영문 닉네임으로 존칭합니다.

• 화려한 장비가 나를 감싸고!
 맥북 프로 및 와이드 모니터 등 직무에 필요한 개인장비를 제공해요.

• 자유로운 환경에서 샘솟는 업무열정!
 딱딱한 복장은 No! 딱딱한 근무시간도 No!
 자유로운 복장과 탄력 근무, 재택근무 제도가 편안한 업무환경을 보장합니다.

• 열심히 일한 그대, 리프레쉬는 자유!
 연차, 반차, 반반차까지 자유롭게 사용할 수 있습니다.

• 이왕 쉬는 거 좋은 곳에서 쉬겠습니다!
 편안한 휴식을 위해 법인 콘도 회원권을 통해 휴양시설을 지원합니다.
 전국 주요 호텔 및 리조트와 제휴를 통해 저렴하게 이용할 수 있도록 지원합니다.

• 그대는 일에 집중! 배고픔은 우리가 챙겨드릴게요!
 식대 제공과 더불어, 다양한 간식과 음료가 가득한 스낵바가 있습니다.

• 지쿠터와 바람만 있으면 어디든 갈 수 있어
 지바이크 직원이라면 무료로 지쿠터를 이용할 수 있습니다.
 더워지는 여름, 출퇴근길 땀냄새와 함께 가지말고 지쿠터로 슝!

• 일만 해선 우리사이 친해질 수 없잖아요!
 업무 외에도 동료 간 단합과 리프레쉬를 위해, 조기퇴근과 함께하는 사내 동호회 활동을 지원합니다.

• 기쁨도 슬픔도 우리 함께해요.
 설/추석 명절, 생일, 결혼기념일 등에 경조금, 경조휴가 지급됩니다. 

• 근로기준법은 당연히 지키기로 약속!
 4대보험, 퇴직연금, 연차 제공, 휴게시간 제공 등 권리를 누리세요.

• 나도 지쿠터 사업자!
 내 직장이 곧 황금알을 낳는 거위, 지쿠터에 투자해 수익을 공유할 기회가 있어요.",경력 3~10년,무관,상시,"서울특별시 강남구 테헤란로4길 28, 12층"
"내몸랩백엔드, 서버 개발자(경력 3년 이상)","JavaScript
Spring Data JPA
Java","• 실시간 매칭, 1:1 화상, 메시징, 예약 시스템 등 모든 API 서비스 개발
• Back office 개발
• 새로운 기술을 자유롭게 제시하고, 함께 적용해볼 수 있는 기회
• 현재 런칭 된 앱(Fitor)의 유지보수 및 추가되는 기능 개발","• Backend 개발 경력 3년 이상 혹은 그에 준하는 실력을 보유한 분
• Java Spring 개발에 익숙하신 분
• JPA 이해도가 높은 분
• 목표 지향적인 사고와 실행 역량이 높은 분
• 서비스의 품질과 안정성에 책임감을 가지고 주도적이고 지속적으로 개선하는 분","• Web RTC등의 스트리밍 서비스 개발 경험이 있는 분
• 네트워크/앱 보안에 대한 이해도가 높은 분
• JAVA 최신 개발 동향에 관심이 많은 분
• Redis 실무 적용 경험이 있으신 분
• IT의 이해를 바탕으로 최적화된 인터페이스 설계를 지향하는 분
• 동료들과 원활한 커뮤니케이션이 가능한 분
• 스타트업 근무 경험이 있는 분
• 운동을 좋아하거나 관심이 많으신 분","• 원거리 출퇴근자 재택 근무 및 선택적 탄력근무제
• 4대 보험가입, 근로기준법에 따른 연차휴가제도
• 각종 경조사비 및 경조휴가 부여, 자유로운 연차 사용
• 직무에 필요한 장비 및 툴 전액 지원
• 자사 앱을 통한 운동 수업 무한 지원
• 수평적 조직 문화 및 자율 복장의 자유로운 업무 분위기
• 최소 주 1회 이상의 점심 맛집 탐방
• 스타트업이지만 오랜 업력의 유아 및 종합 생활용품 전문 기업인 ㈜킨도의 관계 회사로, 높은 안정성",경력 3~6년,무관,상시,서울시 서초구 서운로 142-4 재전빌딩 9층
데이터비백엔드 엔지니어 (NodeJS),"Node.js
AWS
Python
AdonisJS","영어 문법 검사기 ‘엔그램’ 서비스 백엔드 개발

• 웹서비스에 대한 이해
• RDS에 대한 이해
• NodeJS 개발 경력","• 결제 기능 개발 경험
• AdonisJS 프레임워크를 활용한 개발 경험
• Python 개발 경험
• AWS를 이용한 개발 경험","• 데이터와 소프트웨어 기술이 사람간의 의사소통을 더 원활하게 도울 수 있다고 믿는 분
• 미래의 성장과 성공을 위한 계산된 위험을 두려워하지 않는 분
• 자연어 처리 기술 개발과 활용에 대한 관심 및 경험이 많은 분
• 새로운 것을 배우고 성장하고자 하는 욕구가 강한 분
• 말보다는 결과물을 통해 동료의 신뢰를 쌓으실 분
• 상사와 동료의 의견이 본인의 의견과 다를 경우 근거를 가지고 자신의 주장을 이야기할 수 있는 분
• 영어 의사 소통 능력 향상에 관심이 있는 분
• 컴퓨터 관련 전공 4년제 이상","[보상 및 근무 조건]
• 머신러닝, 딥러닝 인프라(GPU 등)에 대한 아낌없는 투자
• 최신 노트북과 복수의 모니터 등의 개발 업무 환경 구성
• 개발 경력에 따른 평균 연봉 이상의 급여 제공 (열정 페이 없음)
• 급여와 별도로 성과에 따른 성과급 및 스톡옵션 제공
• 4대 보험
• 자유로운 출퇴근 복장 (사회에 물의를 주지 않는 범위 안에서)

[기업문화 및 복지]
• 대표를 포함한 모든 직원이 개발에 참여하고, 함께 배우면서 만들어가는 문화
• 아이디어에 대한 자유로운 논의, 구현, 테스트를 장려하는 분위기
• 개발자가 개발에만 몰두할 수 있는 업무 환경
• Slack, Notion 등의 협업툴을 이용한 효과적인 협업
• 회사에 대한 기여도에 대해서만 성과 평가
• 불필요한 야근 및 회식 없음
• 비효율적인 회의, 보고서 작성 없음
• 각종 간식 무제한 지원. 원하는 종류 신청 가능
• 그 외 문화와 복지에 대한 아이디어가 있으면 대표에게 직접 건의",신입~10년,대학교졸업(4년) 이상,상시,서울 마포구 백범로31길 21 서울창업허브 별관 404호
펜타시큐리티시스템인증 제품 백엔드 개발자,"Docker
MySQL
Spring
Spring Boot
RDB
Java
Mybatis","• SSO(Single Sign On), 인증, PKI 관련 제품 서버 개발

[개발 환경]
• 주요 기술 : Java/Spring Boot, mariadb, mybatis, JPA
• 업무 도구 : Git, Mantis, Slack
• 테스트, 빌드, 자동화 : Jenkins, Selenium","• JAVA, Spring Boot를 이용에 대한 이해가 있는 분
• MariaDB/MySQL등 RDBMS에 대한 이해가 있으신 분
• mybatis, JPA 사용 경험이 있는 분
• RESTFul API에 대한 이해가 있는 분
• 백엔드 경력 : 5년 이상","• docker 환경 내 개발을 경험하신 분
• Linux OS가 익숙하고 관련 운영이 가능한 분
• RDBMS에 대한 이해가 높고, DB 설계/튜닝이 가능한 분
• 풀 스택 개발에 관심이 많은 분
• 성실하고 책임감과 열정이 있는 분","• 연차, 반차 자유롭게 사용 가능
• 업무에 필요한 최신 사양 PC/노트북 지원
• 자기 개발 지원 제도 운영(취미 활동,학습,독서,운동 기구 구입 등 지원)
• 즐거운 명절을 위해 설과 추석에 선물 지원
• 구성원의 휴식을 위하여 안마 의자, 커피, 음료 등 편안한 휴게 공간 지원
• 장기 근속 포상 지원
• 장기 휴가 권장 및 여행비 지급
• 정기적인 건강 검진 프로그램 운영 
• 인근역(여의도역/국회의사당역) 셔틀 운영
• 코로나19 대응에 맞게 재택 근무 및 유연 근무",경력 5~20년,무관,상시,서울특별시 영등포구 여의공원로 115 세우빌딩 8층 / 9층
마이카페이지django 백엔드 개발자,"Django
React
React Native
Amazon EC2
JavaScript
Python
PyTorch
AWS","• KB진단중고차 진단 및 영상제작 대행 [ 개발 ]
• KB차차차 플랫폼 영상촬영, 자동편집 시스템 개발 및 운영 총괄 [ 개발 ]
• KB차차차 LABS 오프라인 가상 전시장 시스템 개발 및 운영 총괄 [ 개발 ]

• 중고차 비대면 Live 영상상담 시스템 개발 [ 개발 ]
• 대규모 영상 처리 시스템 및 스트리밍 엔진 개발 [ 개발 ]
• 실거래가 기반의 내차 팔기 서비스 개발 [ 개발 ]","• React 개발 경험 있으신 분
• Django 프로젝트 경험 있으신 분
• AWS(RDS,S3,LAMBDA,EC2 등) 개발 경험 있으신 분
• DRF를 활용한 API 구성에 익숙하신 분","• 개인적으로 서비스 운영 해본 경험이 있거나 하고 있으신 분
• 영상 스트리밍 또는 webRTC 서비스 경험이 있으신 분
• 스토어에 앱 출시 경험이나 시도해보셨던 분","• 야근 발생 시 특근수당 지급
• 명절 생일 상여금 및 선물
• 탄력 근무제 ( [09시 ~ 10시] , [18시 ~ 19시] )",경력 1~3년,무관,상시,서울특별시 서초구 157314웅진타워
이마고웍스클라우드 back-end 파트 개발자 (전문연구요원 가능),"JavaScript
Git
NoSql
ExpressJS
Node.js
Jira
AZURE
AWS","• Azure 클라우드 인프라 환경을 구축하고 운영합니다.
• AI 기반 치과용 웹 CAD 클라우드 서비스, AI 서버, 커뮤니티, 데이터 팜, 백오피스 등 back-end 개발을 합니다.","• 컴퓨터 공학 또는 관련 학과 전공하신 분
• 타 직군과 같이 문제를 정의하고 해결책을 찾아 나갈 수 있는 협업 능력 보유하신 분
• 소프트 스킬의 중요성을 이해하고 존중하며 따르는 분
• 올바른 인성과 긍정적이고 단단한 멘탈을 갖추신 분
• Node.js 웹 어플리케이션 개발 경험이 있으신 분
• NoSQL에 대한 이해와 개발 역량이 있으신 분
• OOP, FP 등 기본적인 프로그래밍 이해가 있으신 분
• 기본적인 CS에 대한 이해가 있으신 분
• 서비스 고도화 및 성능 최적화 경험이 있으신 분","• Spring 또는 Nest.js 개발 경험이 있으신 분
• 대용량 트래픽 / 고가용성 서비스 운영 경험이 있으신 분
• Azure, AWS, Google Cloud 등의 클라우드 환경에서 서비스 운영 경험하신 분
• 리눅스 시스템 경험이 있으신 분
• Git, Jira, Confluence와 같은 도구를 활용한 협업이 익숙하신 분
• 네트워크 및 보안에 대한 이해가 있으신 분
• 논-블로킹, 비동기 프로그래밍에 대한 이해가 있으신 분
• 단위/통합 테스트 작성이 익숙하신 분
• DDD, TDD, Clean Code에 관심 있으신 분
• 안정적인 서비스 설계 역량이 있으신 분

[개발환경]
• 주요 기술 스택: TypeScript, Node.js, Nest.js, Fastify, MongoDB, Azure
• 업무 도구: Git, Azure DevOps, Webstorm/VSCode
• CI/CD: Azure DevOps
• Monitoring: DataDog","직원이 편해야 회사가 잘된다!
• 수평적인 조직 문화
• 자율 출퇴근제 운영
• 자유 복장 (반바지, 모자, 슬리퍼 등등 모두 OK!)
• 신사역 도보 3분 거리 
• 듀오백, 듀얼 모니터, 모니터암 등 제공 
 
아낌없이 주는 회사!
• 점심 식대 지원 / (필요시) 저녁 식대 지원
• 맛있는 스낵, 쿠키, 음료 등 간식 무한 제공
• 커피 무한 제공
• 입사 시 Welcome Kit 지급
• 업무에 필요한 사무용품 제공
• 생일 선물로 상품권 및 오후반차 지급
• 입사기념일 선물 지급
• 입사 후 당해 유급휴가 선부여
• 경조사 휴가 지급
• 장기 근속 휴가 제공 
• 명절선물 지급
• 임차료 및 교통비 일부 지원
 
Work Life Balance!
• 팀원의 성장은 팀의 성장! 도서, 온라인 강의, 화상 영어 교육 등 자기 계발 지원!
• 스포츠, 문화 생활 등 사내 동아리 활동 지원
• 팀웍 향상을 위한 팀별 컬쳐 데이 운영
• 건강검진 지원",경력 1~7년,대학교졸업(4년) 이상,상시,서울시 강남구 강남대로 636
로보코리아백엔드 엔지니어,"TypeScript
NestJS
MongoDB
NoSql
MSA
Datadog
Grafana
Prometheus","• LOVO의 다양한 음성합성 기술 기반 서비스를 위한 확장성 있고 안정적인 백엔드 개발
• 음성합성 AI 모델을 안정적으로 안정적으로 API화 하기 위한 백엔드 개발
• 클라우드 아키텍쳐 개발 및 관리","• 새로운 기술 및 트렌드에 대해 끊임없이 관심을 갖고 이를 활용 하시는 분
• TypeScript 기반의 NestJS 프로젝트 개발 및 고도화 경험이 있으신 분
• MongoDB 등 NoSQL 기반 데이터베이스 설계 및 운영 경험이 있으신 분
• AWS 혹은 기타 클라우드 환경을 활용한 인프라 관리 경험이 있으신 분","• 글로벌 서비스를 위한 인프라 아키텍처 설계, 개발 경험이 있으신 분
• 애자일, 스크럼, 칸반 등의 개발 프로세스 경험이 있으신 분
• TDD(Test Driven Development)방식을 실무에 적용해 보신 분
• MSA 아키텍처 개발 경험이 있으신 분
• MLOps 파이프라인 개발 경험이 있으신 분
• Stripe 등을 활용하여 빌링 서비스를 구축해보신 분
• Datadog, Grafana, Prometheus 등의 서비스를 통한 모니터링 경험이 있으신 분

[이런 분을 선호합니다.]
- 놀 땐 놀고 일할 땐 일할 줄 아시는 분!
- 효율성과 프로세스를 고민하고 또 고민하시는 분!
- 자신의 성장을 위해 노력하시는 분!
- 매사에 주도적이고, 책임감이 강하신 분!

[LOVO Backend 팀이 사용하는 기술]
• TypeScript, NestJS, Express, NodeJS
• AWS ECS, EC2, Lambda, API Gateway, S3, CloudFront, SQS, SNS, SageMaker
• AWS CodePipeline, CodeBuild, CodeDeploy, CodeStar
• AWS CloudWatch, CloudTrail, DataDog
• Pulumi(IaC)
• MongoDB
• Stripe","1. 자율과 효율의 근무 환경을 제공합니다.
• 오전 09:00 - 10:30 유동적인 출근 제도
• 자체적인 LOVO 휴가 제공 (+3일 유급휴가)
• 사내 최고급 헬스장 제휴 운영 
• 근속 3년 근무시, 리프레시 연차휴가 2주 및 200만원 제공

2. 업무와 성장을 위한 지원합니다.
• 전·월세지원금 월 25만원 지원금 (*강남~선릉 등 사무실 근처 이사)
• 직군별 최고급 장비 지원(M1 Pro Ram 32GB, Dell QHD 모니터 2대, 키크론 키보드, 아이맥, 맥북프로, 드로잉패드 등)
• 교육지원비 매월 10만원 지급
• 프로젝트 단위 성과급 지급
• 업무 관련 비용(소프트웨어 등) 100% 지원
• 인재추천비 300만원 지원

3. 개인적인 케어 및 입사시 선물세트도 지원합니다.
• 회사에서 사용하는 필요 경비 100% 지급
• 사내 쇼케이스 음료바 제공
• 국내 유명 수제맥주사의 시즌맥주 무제한! 무료 제공
• 사내 쇼케이스 스낵바 제공 및 신청하는 간식 구비
• Happy Holiday 선물세트 제공
• 풀케어 경조사 및 경조휴가 제공
• 입사시 최고급 축하선물세트 배송 (*현대백화점 과일세트)

※ 전문연구요원 운영 지정업체입니다.",경력 3~10년,무관,상시,"서울 강남구 테헤란로25길 7, 6층"
더블미이커머스 서비스구축 개발자,"Node.js
PostgreSQL
AWS
Git","• 자사 콘텐츠를 위한 이커머스 서비스 구축, 운영
• 콘텐츠 관리를 위한 관리자 페이지 구축, 운영 
• 결제 모듈 연동","• 신입 또는 3년 이상의 IT 개발 경력을 보유하신 분
• 이커머스에 대한 이해도가 있으신 분","• 사내 기술 스택: NodeJS(NestJS), PostgreSQL, AWS, EKS, Git
• MSA 기반 아키텍처 경험자
• AWS 서비스 이용 경험
• 이커머스 서비스 구축 경험 우대 
• 밝은 성격과 적극적인 의사소통 능력 보유자","• 지원금/보험 : 건강검진, 단체 상해보험
• 급여제도 : 퇴직연금, 퇴직금, 4대보험
• 선물 : 생일선물/파티, 도서 제공
• 생활 : 비플제로페이(점심식대), 간식 및 음료제공
• 근무 환경 : 회의실, 공기청정기, 노트북, 사무용품 지급
• 조직문화 : 자유로운 연차사용, 칼퇴근 보장, 자유복장
• 리프레시 : 연차, 경조휴가제, 근로자의 날 휴무, 대체공휴일 휴무",신입~10년,무관,상시,"서울 중구 청계천로 24, 13층(케이스퀘어시티)"
