대분류,소분류,강의명,난이도,가격(현재가격),가격(원래가격),총소요시간,강의소개,언어,출처
software-engineering,Python GUI,Build An Audio Video Player With Python And Tkinter,모든 수준,"₩17,000","₩23,000",7.5시간 주문형 동영상,"배울 내용
Tkinter GUI Widgets need to know for making Audio/Video Player
How to build Audio/Video Player with Python and Tkinter
How to use Pygame to play with the Audio file
How to use vlc to play with the Video file
How to load gif images in Tkinter
All functionality of Audio/Video Player",영어,https://www.udemy.com/course/build-an-audio-video-player-with-python-and-tkinter/
software-engineering,Coding Interview,LeetCode in Python: Algorithms Coding Interview Questions,모든 수준,"₩17,000","₩23,000",2.5시간 주문형 동영상,"배울 내용
Solve easy to hard coding interview questions using different data structures and algorithms
Become more confident in problem solving
How to break down complex problem in step by step
How to solve some of the most popular coding interview questions",영어,https://www.udemy.com/course/leetcode-in-python-algorithms-coding-interview-questions/
software-engineering,Microservices,Master Event Driven Microservices with Python and AWS,모든 수준,,,8시간 주문형 동영상,"배울 내용
Concepts of Event-Driven Microservices Architecture
Building and Deploying AWS Lambda Microservices with Python
Building and Deploying Containerized Microservices with AWS ECS and Python
Eliminate Dependencies using Events and Messages
Orchestrating Microservices with Choreography and Orchestrator
Building Fast Systems using CQRS
Building Resiliant Systems using Event-Sourcing
Eliminating Network Dependencies using Service Discovery Pattern",영어,https://www.udemy.com/course/build-microservices-with-python-aws/
software-engineering,Autonomous Cars,Self Driving Simulations: Develop Autonomous Car with Python,모든 수준,,,4.5시간 주문형 동영상,"배울 내용
Learning the fundamental concepts of self driving autonomous car, getting to know technologies behind it, as well as its capabilities and limitations
Learning and understanding how self driving feature in autonomous car works
Building self driving autonomous car simulation project using PyGame and NEAT from scratch
Testing the self driving autonomous cars to ensures the car has a good decision making ability, solid sensor integrations, and effective collision prevention",영어,https://www.udemy.com/course/self-driving-simulations-develop-autonomous-car-with-python/
software-engineering,Algorithms,LeetCode Solutions using Algorithms and Data Structure in C#,초급자,,,13시간 주문형 동영상,"배울 내용
Understand algorithms
Understand data structures
Learn to solve complex software problems using algorithms and data structures
Crack interview to IT companies",영어,https://www.udemy.com/course/leetcode-solutions-using-algorithms-and-data-structure-in-c/
software-engineering,Google Sheets,How to Create a Google Sheets Add-on,초급자,,,2.5시간 주문형 동영상,"배울 내용
Create a publishable new feature of Google Sheets™
Extend Google Sheets™ functionality
Get free templates to build a site for your add-on and market your add-on
Overcome rejection when listing your add-on to the Workspace Marketplace",영어,https://www.udemy.com/course/how-to-create-a-google-sheets-add-on/
software-engineering,Data Structures,Data Structures 2022 Clearly Explained Beginner to Advanced,초급자,,,6시간 주문형 동영상,"배울 내용
A Complete Understanding of Data Structures in Java
Explaining through organized presentations and examples
We will translate your understanding of Data Structures through the explanations and examples to Code
Beginner and Advanced Data Structures will be taught",영어,https://www.udemy.com/course/data-structures-2022-clearly-explained-beginner-to-advanced/
software-engineering,Microsoft Azure,Implement and Manage Azure Storage,전문가,,,4시간 주문형 동영상,"배울 내용
About Storage Service and Account
Creating a Storage Account
Working with Blob Storage
Working with Table Storage
Azure Queues Storage
Azure SMB File Storage
Manage access
Configure diagnostics, monitoring and analytics
Storage Service Encryption",영어,https://www.udemy.com/course/implement-and-manage-azure-storage/
software-engineering,Data Structures,Data Structures and Algorithms MCQ Solving Techniques,모든 수준,,,3시간 주문형 동영상,"배울 내용
100% Quick and Easy Shortcut tricks to solve Data Structure Questions in your UGC NET, GATE,Scientist B and Scientific Assistant Examination.
Students become familiar with every Data Structures.
Understand how to solve Data Structures related questions .
Understand the mathematical concepts behind the Data Structures.
Understand the working principle of Linear Data Structures like Stack, Queue and Linked List.
Understand the Fundamentals of various Sorting like Bubble Sort, Insertion Sort,Merge Sort, Quick Sort,Heap Sort.
Understand the Fundamentals of various Searching like Sequential Search and Binary Search.
Helpful for nielit scientist b exam preparation.
Covered gate exam syllabus.
Helpful for NTA UGC NET candidates.",영어,https://www.udemy.com/course/data-structures-and-algorithms-mcq-solving-techniques/
software-engineering,Unit Testing,Unit Testing with Rust and Tokio,중급자,,,2시간 주문형 동영상,"배울 내용
Unit Testing in Rust
Rust and Tokio features to help setup tests
Rust language features to help structure tests
Crates that can help with testing",영어,https://www.udemy.com/course/unit-testing-with-rust-and-tokio/
software-engineering,Artificial Intelligence,A.I. Video To Text Transcriber App with Python and Tkinter,초급자,,,1.5시간 주문형 동영상,"배울 내용
Intro To the OpenAI Speech To Text Transcriber Whisper-1 Model API
Intro Use of Python
Intro Use of Intermediate Tkinter
Intro Use of TTKBootstrap Tkinter Library",영어,https://www.udemy.com/course/create-an-openai-video-to-text-transcriber-app-with-tkinter/
software-engineering,Google Cloud Run,Google Cloud Run with Java and Spring Boot,초급자,,,1.5시간 주문형 동영상,"배울 내용
Serverless fundamentals: Learn benefits, architecture, scaling.
Master Google Cloud Run: Deploy Java, Spring Boot.
Containerize Spring Boot: Docker, best practices.
Build scalable serverless apps: Integrate, event-driven.",영어,https://www.udemy.com/course/learn-serverless-google-cloud-run-with-java-and-spring-boot/
software-engineering,Gradle,Building Java using Gradle on Jenkins,초급자,,,2시간 주문형 동영상,"배울 내용
The basics of Test Automation, CI, CD, and DevOps
The fundamentals of Source Control (Git), Docker, and Jenkins
How to install and setup Git, Docker, Docker Compose, and Jenkins
An Introduction to Java Build Concepts and Gradle
How to use Gradle to check, test, and publish Java libraries
How to use Jenkins to automate CI/CD based on Gradle using freestyle jobs, scripted pipelines, and declarative pipelines",영어,https://www.udemy.com/course/building-java-using-gradle-on-jenkins/
software-engineering,AWS Certified Solutions Architect - Associate,AWS Certified Solutions Architect SAA-C03 | Q&A [ latest ],모든 수준,,,,,영어,https://www.udemy.com/course/aws-solutions-architect-saa-c03-practice-full-answers/
software-engineering,Software Engineering,Software Engineering,모든 수준,,,4시간 주문형 동영상,"배울 내용
Software Engineering Basics
Software Developments Life Cycles and Models
Factors and cost estimation
Requirement Engineering
Software Testing
Agile",영어,https://www.udemy.com/course/software-engineering-udemy/
software-engineering,UiPath,UiPath Tutorial to become a RPA Developer,모든 수준,,,7.5시간 주문형 동영상,"배울 내용
Every single lesson has an introduction before code to understand easily and follow lesson easily
You will have general software knowledge after finish this course
You will learn If and switch controls
You will learn most used datatable operations with code and activities
Understanding how to desing table in Sql Server Management Studio and use CRUD operations in Database
Understanding selector with professional approach
You will learn mail activities - Get attachments - Send mail with html tags
You will learn most used reference and value type variables
더 보기",영어,https://www.udemy.com/course/detailed-uipath-tutorial-to-become-a-rpa-developer/
software-engineering,Algorithms,"HackerRank Solutions using Algorithms, Data Structure in C#",초급자,,,1시간 주문형 동영상,"배울 내용
Understand algorithms
Understand data structures
Learn to solve complex software problems using algorithms and data structures
Crack interview to IT companies",영어,https://www.udemy.com/course/hackerrank-solutions-using-algorithms-data-structure-in-c/
software-engineering,RESTful Web Services,RESTful Web Services with Spring Framework - A quick start,초급자,,,,,영어,https://www.udemy.com/course/restful-web-services-with-spring-framework-a-quick-start/
software-engineering,Simulink,MATLAB/Simulink for the Absolute Beginner,초급자,,,,,영어,https://www.udemy.com/course/matlabsimulink-for-the-absolute-beginner/
software-engineering,Cisco CCNA,Free Cisco CCNA and CCNP Remote Labs! Free Cisco VIRL labs!,초급자,,,,,영어,https://www.udemy.com/course/free-cisco-ccna-and-ccnp-remote-labs-practice-labs-for-free/
software-engineering,Unit Testing,Beginners Guide to Unit Testing with NUnit and C#,초급자,,,,,영어,https://www.udemy.com/course/unit-testing-intro/
software-engineering,GraphQL,GraphQL - A Primer,초급자,,,,,영어,https://www.udemy.com/course/graphql-a-primer/
software-engineering,XML,XML | Short Course | Step by Step for Beginners,모든 수준,,,,,영어,https://www.udemy.com/course/xml-step-by-step-for-beginners/
